,JwMarriot_reviews
19,"Been dining at lotus cafe these past few months.All covid precautions in place.  As always the staff polite and efficient. Restaurant manager Mr.Ritesh , Mr.Siddesh..very welcoming. Rebecca Ronny...Akash...super efficient. The best dish Nalli Nihari  (  tender  meat) cooked by chef Mr.Sirajjudin is delicious full of flavour and lip smacking ! The best in town !  Thankyou ....you have  great talent chef ! And we always enjoy a relaxing meal here."
20,"I stayed at jw Marriott juhu recently had gone for a wedding that could not be avoided overall it was a socially distant wedding.. .. & the hotel staff was very nice ,all the safety precautions were takenby the hotel ...   however the 22nd morning breakfast there was a buffet breakfast & so many people sharing the same spoon for filling their plates came as a shock to me... and it was immensely crowded I was shocked to see the morning breakfast venue it looked like a normal day (not covid time) the hotel was booked to what looked like almost full capacity as it was buzzing with crowd.the stay overall was nice but i was disappointed seeing the breakfast venue with such a large crowd eating together , the hotel  could have done something about it and not kept a buffet or different"
21,"Due to travel restriction we could not travel but I wanted my 10th Wedding Anniversary to be special, so I booked best hotel in town JW Marriott Juhu. Even being in busy city like Mumbai it gives a feel of a resort. Location is perfect with a beach view. I booked Executive ocean beach and the vie from room was just amazing. I am seeing Juhu beach since my childhood but never thought it would be so beautiful. You have 360 view of beach from all rooms. View from bathroom from bathtub is just spectacular.  Please convey my thanks to Rashmi Trivedi to make this special occasion so memorable. All arrangements were perfect. All requests were taken care in time.   Also would like to thank Satish from Lotus Cafe, he was really very helpful and made sure to accept all our special"
22,"Today was my 3rd visit at JW juhu as this is my preferred Buisness destination for all my meets. How lovely it is to be warmly greeted by Jessica, she is very dedicated and passionate about her duty and also remembers potential guest like me. It feels special to be recognised as one, Highly recommended to visit JW juhu."
23,"During Covid when most 5 star properties are putting their best foot forward in terms of care, service and attention to detail, this hotel has gone the opposite route. If you want to make a booking you have 2 choices: call or website. In India government offices get discredited with bad customer service but I think this hotel can single handedly top that experience. You can call on any number and either no one responds or they pass your call to another department where again no one responds even after 15 minute waiting time. If you try booking online, their site crashes on every page. Their insta handle bio's link also crashes, I mean at least save your marketing dollars.  Finally when someone decides to take the call, the response is to get back in 2 days which again does not"
24,"Had an amazing mini vacation during our stay at the hotel. The hotel took precautions and the staff was very hygienic. Sanitization stations were present almost everywhere in the lobby and the rooms were well sanitized too which makes this a safe place to stay during COVID. Dinner service at the Lotus Cafe went smooth with such a diverse menu for the buffet. Thanks to Ritesh, Satish and Gurvinder for an amazing service as they were on their toes whenever needed. The room service was great, as the staff cooperated really well. We got to visit the beach in the morning and with a complementary breakfast we had our bellies full. A big thanks to Nallini from Guest relations who ensured our stay was hassle free."
25,I have  visited j w Marriott Juhu Mumbai on 14h to 17th with my family we had two sea views rooms I found everything to 5 star quality as expected. Thanks to Rashmi and Abhishaik Sing our stay memorable and comfortable in corona virus fear we enjoyed every corner and facilities available one that blocked was for our safety and gov guidelines. I have stayed numbers of times and will return because I would not take chance as I did in past to regret. I love it food cleanness safety hygiene service you name it I will give ten... Thank you Rashmi Abhishaik Sing and many more at JW.
26,Very good experience at the hotel and amazing experience and enjoyed the stay at the hotel superb food amazing ambience too. My toddler enjoyed too. Kids frjendly hotel many activities for the kids do visit
27,The hotel and staff both are excellent. Excellent service. Food is out of the world. The management is very polite and helpful. Specially nallini who works there. Overall the experience had been excellent.
28,"Dinner was yummy and delicious, making it so special with Birthday cake,all thanks to efforts made by SAI Jyoti  Thank you for all hospitality and services Made my Birthday with my Hubby  Really Happy 😊😊😊"
29,Planned birthday day dinner for my wife in Lotus cafe J W Marriott. Very supportive staff and helped plan the party. They made her day special. Kudos J W team. Specially Miss Sai Jyoti  was very polite and informative about dinner and service. Thanks for  making this small celebration such memorable. 👍🏼😊😘
30,"I'd like to compliment the outstanding service of the staff. Starting with the warm welcome & help of the front desk. Rachira & Saif are kind, friendly & patient. Also Amen is warm & welcoming. The tall young man who works late night in helping with my TV & cable problem was so patient & friendly. Roshan who's kind, helpfulness & friendly voice on at your service makes me feel comfortable to call for assistance.  And Parag in the lovely buffet restaurant. Excellent staff! Thank you!"
31,"Production put me here while I was working on a show.  The hotel is beautiful and it's in a great location. Staff is super nice and the breakfast is unparalleled. However, do not book the house care. They charged me 2k rupees for a 15 minute ride and took way to long to sort out.  Plus I double confirmed the driver knew where to go.  I finally got in the car and he didn't know. I was late for my meeting and they overcharged me. Forrest essential toiletries in the bathroom. The hair dryer was the best hotel hair dryer I've used anywhere in the world."
32,"As we still cannot celebrate the birthday with friends or relatives we have stayed in Marriott for a day  On my Daughter’s 14 th birthday .If I had to Describe  experience in one word it was “Marvellous “  A huge bunch of surprises were planned for us .. on our check in as  a service gesture we were upgraded to a suit .. which was huge with  breathtaking view.   My Daughter was welcome with a beautiful cake , cupcake n donuts...of amazing Taste .  Food ..service and Ambience was awesome.   I sincerely wana thanks  Rashmi , Radhika Jagtap , Nellini  Gomes and entire staff of Marriott for making my daughter D Day so memorable ."
33,"We had a staycation for 2 nights at J W Marriott Juhu and the stay was absolutely amazing. To start with we were upgraded to a suite and hotel staff followed strict social distancing guidelines. We were welcomed very well by Giridhar and that felt v good. My 2 daughters had an amazing time at the hotel as they were engaged in many activties (Pizza making, fish feeding, cup cake decoration). Amen, guest services manager took super care for my daughters.  We also had great evening meals and there was good care in terms of wearing masks,  social distancing. Many J W staff including Chef took special care. To mention some names, Anil Chef Alok, Check Nakul all took extra care.   The over hospitality was right at the top. The room was beautiful and luxurious. Care taken by hotel"
34,"Went with family for dinner after 6 months to J.W Marriott, Juhu. The place was nice done up keeping in mind social distancing, staff was very polite and extremely helpful. . Tough much variety was not available in buffet, service was good. The staff made sure they were there to cater to our needs as self serving was not allowed to avoid any kind of contact of infected person. . Temperature was taken at enterance and hands sanitized."
35,"Hi   The stay was amazing and memorable, with the Marriott hospitality,  We would specially like to thank your team Member Radhika Jagtap for hosting a perfect stay and upgrade . Truly 5 * values  Appreciated  Regards  Hirani family ."
36,"Took some time off from pandemic’ng  - by spending some quality time at the JW Marriott Juhu, Mumbai! Felt nice to feel experience legendary Marriott hospitality while being safe; working away while being nestled beach side, is not what one expects from Mumbai -  considering its much famous maximum city reputation!   The team at the JW Juhu was top class. Special shout out to Ms. Trivedi at Guest Relations & all of the folks in F&B !  F"
37,Well staying here was definitely the best decision we made we had such an amazing stay all safety protocols were followed  We even had a toddler with us we were definitely skeptical  about leaving our homes n staying in a hotel but it was a good decision at the end.
38,"Awesome view with amenities one could ask/dream of. Had a great time with the infrastructure, hospitality of certain people like Abhishek, Rashmi who added a different flavor altogether during this stay. Looking forward to stay more and recommend the same to my near and dear ones for sure."
39,"This was the first staycation booked after the whole COVID 19 lockdown and safe to say it surpassed all our expectations! Before check in the team reached out and highlighted the safety protocol in place with all the procedures clearly laid out making things very smooth when we checked in and checked out. They were kind enough to upgrade us to the Grand Ocean Suite! Staff was so kind and attentive. Literally the most memorable stay we’ve had.  The suite was impeccable, clean, sanitised and hygienic.  Just over all a fantastic wholesome experience!"
40,"Being a 5 star you obviously have a certain level of expectation from the hotel. JW Marriott went above and beyond to ensure we have a splendid staycation. Their location is their biggest position of strength, however, it’s the interior architecture that adds to the charm. Despite COVID, they had an elaborate buffet experience without maximum safety measures in place - something no other hotel is providing at the moment. Plus they were supremely supportive in creating a special experience for my husband’s birthday. To summarise, can’t wait to stay with them once again!"
41,"I stayed at JW Juhu in October 2020. Despite being apprehensive about how hotels are coping, with the coronavirus, I took a chance and made my reservation for a relaxing break away from work from home and house work :)   From the time I entered the lobby till I excited the lobby the following day, it was a very smooth and comforting experience. The staff are working extra-hard to ensure all precautions and protocol are being undertaken and followed diligently.  Hats off to the staff for serving us with smiles and warmth even during such trying times.   Signages across the lobby and elevators as well as the guest room floor are easy to understand, and I hope all guests follow it for their own and others' sake.   The breakfast buffet was held at Lotus Cafe, which had recently for"
42,We had a great time at weekend at the hotel. The floor team with Rashmi. The staff at restaurant for meals - Gurvinder. Exec chef alok and team. Thanks for giving us a fantastic stay and service during our stay.   Rooms also fab.
43,"After spending full eight months at home with no where to go and scared of every place, this visit was a great relaxing time as every sanitation and precaution was taken care of.  With limited crowd you could really feel safe.  Excellent staff, available at at time you call for.  A special thanks for the Dinning staff at Lotus Cafe, especially Mr.Ritesh who single handedly took care of every person and we could really feel his warmth in the room.  Ms. Lidia & Guest Relations Ms. Laxmi, made my grandchildren feel so good every time we visited the place.  Besides the above two each and every staff including the Chef were very sweet and polite, my special thanks to each one of you.  The room service given by Mr. Arvind  was just excellent.    Inroom Dinning service provided by Ms."
44,It was amazing stay ..everthing was so perfact..we would like to visit again .and all managment ..staff services was excellent.and specially Thanks to Raees..he has done a great job for me😊..Tysm for everything..
45,"We visited for few days. The hotel was not that crowded due to COVID. But the entire team at JW ensured our safety and comfort. Right from check-in, rooms cleanliness, food  we were well taken care of. All areas well kept clean and sanitized which made us feel safe. A BIG thank you to entire team at JW Marriott, Juhu to make our family stay comfortable."
46,"My family had a wonderful stay at Jw Marriott, Juhu. The location , the staff, food everything made our stay so pleasant . Even though we were at quarantine there was no compromise on the food , everyday the menu was different and everything was copacetic. I am glad I chose Jw Marriott for my stay .  Thankyou."
47,"Yes we made a blunder, by choosing this property over Taj/ Regis and booked this hotel for some change in scenery and activity. 2 days of some pathetic hospitality that we would be happy to forget as thats what the staff at JW juhu did, they convincingly shirked and left us all by ourself be it room cleaning or ordering sanitizers in room.The hotel was definitely  empty with hardly some footfall which made it easier for us to understand how they actually run.  Starting with the only positive:  the seamless booking experience with JW and thanks to Karan for the same.  The entire team( reception, at your service, in room dining) which in my experience, was inharmonious, hubristic and uncivil, and to my belief could be the worst traits to have when you're in the hospitality"
48,Wanted to thank entire staff of Juhu JW MARRIOTT for giving wonderful stay to my family. Special thanks to Mr Rohit and Mr Abhishek for giving lovely room and giving the best cooperation in my one day stay. Keep up the good work. My special thanks to Mr Shrikant also in lotus cafe for giving wonderful dining experience.  Thank you once again Mr Rohit and team. Juhu Marriott is always class apart experience.
49,During the on going pandemic we were looking for a safe place for a quick getaway with our child. Glad we chose J.W Marriott as it was not just safe but the staff was extremely caring too...!   The food served was excellent and Sanitization was ensured from the moment we entered the premises.
50,We ordered from Marriot on Wheels..the food was delivered at the promised time and the food was lip smacking! Absolutely delicious.. the bell boy was also very courteous when they had delivered the order
51,"We had ordered food @ home delivery. Tastewise, the food was super, especially the indian variety. Paneer starters, moong dal halwa and Gulab jamun are especially worthy of mention! The non veg fare, especially chicken and gosht kebabs were fantastic! Keep it up JWM!"
52,"I ordered the weekend lunch from JW Marriott at Juhu, Mumbai through their JW on Wheels menu and I must say that the service, quality and quantity of food was impeccable! Courteous staff and excellent service! Mr. Ritesh Gupta ensured that the order was fulfilled to my complete satisfaction. Thank you JW Marriott for a scrumptious meal!"
53,"Great hotel, had been there for a weekend this month. very understaff and every thing took a lot of time.  covid safety was not taken care off, was shocked to see in buffet every guest was pick up food using the same cutlery.  virus transmission can easily happen.   1) evening tea and cold coffee took 45 mins 2) had call for beer and papad in room. beer took 40 mins and they forgot to get papad. by the time papad came beer was over. 3) had to wait for 1 hour for gate to open for beach excess, in the end i was tired waiting and could go to beach. 4)lunch pizza came on time was very cold, could not eat even a slice. salad and staters came after pizza.   5) had confrimed late check out but bell boys came 2 times to pick the bag up at 12 and 12.30  had a great stay in past but this"
54,Awesome lockdown stress buster with full family...  Free room upgrade.. Lovely tasty breakfast dinner package with staycation offer..  Beach 🏖 access was special feature where after enjoying beach bath u can get cleaned in hotel with open shower and towels  Special thanks to miss Nailiniji for arranging lovely well personalised surprise cake with guitar on cake for my child birthday and child activities   All lotus cafe staff took so much personal care forgot the names mr.amit joginder and 3-4 more staff   It was a real stress buster.   Only CRONES  SWIMMING pools closed by govt still  SPA closed Beach Acess only 8-10am & 5-7am
55,"I have been staying at this hotel for the past 7 months during the lockdown, at the Grand Ocean Suite &  enjoying the Juhu beach view everyday with the different shades of the sky and the sea. Hotel has a beautiful garden and a big pool area which is a good relaxing/walking space where I unwind my day with the fishes and the birds. I  can easily say this is the best hotel to stay for everyone in Mumbai for this timeline.   Their handling of the pandemic situation has been exceptional. The number of safety precautions they take for every guest with the presence of the hotel doctors, along with the high standards of hygiene & the thoughtfulness of every staff helps me & other guests stay safe & calm.   For all of this experience, I would like to thank the captain of the ship Mr."
56,"Amazing service!! Even with reduced staff.  Nikhil is great with customer service. He notices rash guests and is very friendly. Darpan , a great bartender.  Makes good drinks with and without alcohol.  Overall amazing service, good food, nice staff. Kudos"
57,"Visited Mumbai on 20th Aug 2020 for a 3 day vacation and this was worth every risk amid the pandemic. Let me start by saying that JW Marriott Juhu, is well prepared to take care of all guests needs and exceeds expectations by maintaining all hygiene, sanitation and social distancing norms. At no point did we feel like we were being unnecessarily exposed to other guests or staff. We felt really safe and taken care of. Above all that, the service at the all day dining restaurant and room service was excellent. All thanks to Deependra, Ritesh and Satish for the surprisingly good mocktails they offered and helping us with the menus in all meals. Chef Alok and Chef Nakul were amazing and spoiled us with excellent meals, from Italian to Oriental to Japanese. The room was impeccable"
58,It was a awesome stay and humble staff. Awesome Breakfast in morning All the Safety taken by the Staff . Awesome Support by Mr Raees for reservations. Also Radhika mam helped us to do some activity for children which also amazing
59,"Excellent selection of starters & main course. The food was very well packed too and delivered right on time.  We ordered for the Indian meal and the food was delectable with variety on office.  The accompanying sweet (gulab jamun) could have been different, better.  In all , very satiating meal."
60,"So, I turned 40 on 30th aug.. I had great plans of going with my family overseas but due to the pandemic it all went to drain.. under no circumstances I wanted to stay at home so I googled and the next best thing I saw was JW Mariott opening its gates for stay.. so I googled their number and spoke with Raes and he was such a helpful soul he told me all about the precautions JW takes .. I was a bit worried as I have a 4.5 year old son .. but he assured me.. gave me an upgrade and Ofcourse ensured that I get a  lovely sea facing room.. the room was a delight..! From the moment we entered Marriott such good care was taken.. from a seamless check-in to taking us to our rooms to ensuring all safety measures were explained .. we knew we were in safe hands ..  the meals were delicious"
61,"JW Marriott has always been on the excellence side of the service and they delight you every time. Tried their Mariott on Wheels for the 2nd time today. What a superb service by Satish who makes sure that the order reaches as required(with Customisations) on time. During COVID every small joy matters and MoW brings a bundle of joy in form of super tasty food...be it Fusion Roots pizza, Mutton Seekh, Chicken Biryani,  Ravioli and my all time fav Brownies... Simply Yummylicious...! Also, they deliver it themselves with full precaution in terms of driving their own 4ws, staffs as delivery guys with all necessary care taken. JW Marriott,Juhu - Thanks for the care and delight you bring to us every time we take a bite!   Kudos to Satish and JW Marriott Juhu team... the guy who got the"
62,Exceptional service quality. A special mention about Mr. Abhishek Singh and his efforts in looking after my service and requirements . Personalised service like this make a guest come to the hotel again and again .   Thank You .
63,"We went in for a staycation at JW Juhu, as we did not want to take the risk of traveling out of Mumbai. And I just have one line to say after the experience at JW. So, what if it is COVID? We had a fantabulous stay with a lot of love and care from every member of the wonderful staff at the hotel. Radhika was just wonderful - the children loved the fun activities that she used to arrange for them. Gurvinder and the wonderful person (missed getting his name) from the restaurant who used to patiently serve us almost every meal during our 5 day stay there, how can we forget the wonderful mocktails and allied surprises that you would bring our way? In fact, every team member at the restaurant was wonderful. The safety standards in these difficult times was impeccable and extremely"
64,The dinner Ordered was not upto  the mark and I spoke to chef Alok and others . They went above and beyond to make up . Not only did they resend a delicious meal but added a few things on their own . Thank you so much for taking care and making it up so beautifully!
65,I had booked this hotel for my brother last month they had an excellent experience at JW Juhu starting for the main gate till check out each and every staff is very well trained and understands the guest needs their stay was amazing post lockdown    They were assisted by Abhishek during check in got an amazing room with an sea view Saif was always there to help them during the entire stay the guest relations manager Rashmi was very well attentive and had solution for each and every queries they had there are very few who committed to serve and Rashmi is one of them and a great communication starter at the same time hotel is taking all the precautions related to COVID clean and safe......
66,Excellent services you are providing. I admire your performance. Room services are also excellent. Staffs are co-ordinated. Food at hotel leads to high level quality. Rates for staying in hotel are reasonable.
67,"Dear Marriott team,   A big shout out to u guys for making my Daughters birthday so special! Very thoughtful and with that li’ll personal touch .. u gave her the biggest smile!   Thank u to Chef Alok & Chef / Karishma (who has been excellent at getting the orders down to a T) / delivery guys!!   It’s a pleasure to be served with all checks in place.  Thank you,   Manpreet Arora  (A happy mom)"
68,Cannot remember all names but here are a few :  - Rashmi - Front Desk - Chef Alok - Culinary (Lotus Cafe) is a true star - Dipender - Lotus Cafe (Service) - Nikhi - Lotus Cafe (Service) - Gurvinder - Lotus Cafe (Service)  All of them went out of their way to spoil us during our stay and made us feel like a part of an extended family. That is service from the heart !!
69,The most brilliant service and food under the guidance of Karishma . She is excellent and because of her taking care of things I’ve had many delicious meals in this time. Well done Karishma. So fab !!
70,"The service was impeccable and the food delicious, it’s always great to be able to have a varied menu for any get together and they had someone for everyone. A special thanks to manager Bensan who was kind enough to go as far as to make a special drink for my birthday with special packaging that mentioned her name and a sweet message!"
71,"Abhishek singh and his team is outstanding....had a superb great experience , planning to extend my stay thanks to the super great service and the staff is very very helpful ..on time service and great food"
72,The food delivered was timely and of good quality. Ritesh Gupta is very courteous and efficient  The recent stay was comfortable and followed all the COVID 19 protocols. Rashmi Trivedi was helpful and always cheerful.  Simran at BBC is doing a great job. Happy to be a Platinum member
73,"Had a stay for couple of nights post my lockdown wedding. Must say that the arrangement were par excellence. I had booked a Premier Club Room and it was very spacious, had an amazing ocean view, was properly sanitized & kept untouched for 24 hours, had prompt service and courteous staff. Mariott guys will never disappoint you!"
74,The Hotel stay was very pleasant and comfortable me and my husband enjoyed it. Loved the food and the staff were excellent. I would specially like to thank Satish Rajak and Gurvinder Singh for their help and service. We will surely stay again.
75,I do lot of travel and stay in many five stars but sometimes some people force you to write a review basis there exceptionally good service. My stay was more than amazing because of Ms Rashmi Trivedi.
76,We had a wonderful stay at the Marriott Juhu . The staff was fantastic  and very courteous and caring towards us. Service and food was excellent too! Highly recommend it to anyone who wants their money’s worth !
77,"Beyond amazing. We had the privilege to be at the place during the pandemic time. OMG, these guys suprise me everytime how organized they are. Love it. Brilliant job guys. Karishma thanks alot for getting the dessert for us. You and the team is bloody fantastic. Once again keep up the good job. I am so proud of you guys."
78,"We visited J.W. Marriott, Juhu for a weekend Staycation last week. Special Thanks to Abhishek And his team for upgrading us to an ocean view suite. Great hospitality with all safety measures being followed.One of the best Breakfasts We’ve had in a long time.  All photos and updates of our stay on @your_vacation_goals on Instagram."
79,I Kumar Srivatsa from Abundantia Entertainment having been ordering for  both Veg & Non Veg food for our guest Mr Ashok G . He is extremely satisfied with the food but only requests for few more items in veg to be added if possible .  We are extremely satisfied with the delivery also which is right in time . Thank you
80,"Thru out the lock down, we have had the most amazing food and service by The Marriot Hotel. The food and the precautions have been really good. Karishma Vaid has been personally servicing & looking into the orders. The delivery person comes in the hotel car. I feel safe about their hygiene and service and have even gifted cakes to friends and family via marriot on wheels.  Personally I have ordered almost everything from Garlic Breads to croissants to Thai curry to Deserts to the 4 course brunches, it’s all been really yum!   I must add here that marriot with their amazing service and food have kept our spirits high.Thank you Karishma and the entire team at Marriot hotels for an amazing service and food.   Pro tip :- The Tiramisu is just beyond amazing :)"
81,The J w Marriott juju was an amazing experience that me and my family enjoyed.   The staff and service was impeccable the food and beverages too were amazing  What really impressed me the most was the fact that every thing was socially distanced and well sanitized making us feel comfortable and safe in these covid times
82,Ordered 2 gourmet pizzas of different types and a delicious dessert. Both were delivered in record time piping hot and almost contact less. We enjoyed munching on the pizzas after a long stint with home made food. We will definitely try other dishes on their extensive home delivery menu.
83,"I stayed at the Marriott Juhu recently and it was the only change i got since the lockdown. All thanks to Mr. Karishma Vaid, she helped me from my reservation to making sure i got the kinda room I needed to brilliant hospitality. The most impressive thing was Karishma personally kept in touch via phone and made sure my stay was a refreshing one. Big thank you to her and the rest of the hotel staff everyone was aces."
84,"It was an amazing weekend. We were skeptical due to covid. We were celebrating my sister's birthday. A big thank you to Karishma Vaid for the bookings & making sure we had a pleasant, enjoyable & safe stay."
85,I could not contain my happiness when I got an email stating that J.W.Marriott Juhu has started home delivery for food.. So I ordered butter chicken..paneer ..dahi ke kebab..Ravioli Putanesca and Fruit cake.. And the food was hygenically packed n sooo tasty..the tea cakes have made my tea time something to look forward to..@jwmarriott
86,Rakesh - Manager handling MOW(Marriott on wheels) is amazing & goes beyond call of the duty. I got special Pineaaple Vegan cake which was amazing . So thanks to Chef for making great cake & Rakesh who is very supportive to deliver on time. Packaging is also good & all Covid related precautions are taken . Keep it up ! I am now regular customer since May 2020.
87,"We have been ordering quite frequently from JW Marriott Juhu.   We would love to mention and thank Ms. Karishma Vaid for the amazing top-notch service that she has been providing us.  Ordering food with so much ease has been possible only because of her. We have always received her kind cooperation in every order that we have placed. She has always been kind while helping us decide the menu.   Ms. Karishma looks into the needs and details of every order, the order is always delivered on time and is packed quite neatly. The food has been delicious everytime and they have an amazing menu. The ordering experience is quick and smooth.   Many thanks to Ms. Karishma and her lovely team at JW Marriott Juhu, for their exceptional services. The only Hotel that we would always consider"
88,"We decided to go for Marriott on Wheels option this Sunday since it’s been a long time that we had ordered any food. The ordering process was seamless. Ashish from JW Marriott gave his WhatsApp details so that we can order easily. We placed the order and they were extremely supportive when we requested for some changes considering our dietary preferences.  The food was at door step as promised. The person delivering food was neatly dressed, with mask and gloves and also was open for card payments. The food itself neatly packed.  And finally the food was yummy and all of us enjoyed it. Though we didn’t have it in the restaurant, it still was great in taste, not oily and great flavours. Overall it was a good Sunday lunch without stepping out of the home."
89,"The Covid-19 pandemic has changed so many things but there are some things which can still be enjoyed whilst being at home. The home delivery of food by Marriot has ensured that even as we stay locked indoors we can have some indulgence in a hygienic and safe manner. The person responsible for this is their guest relation officer Karishma who goes out of her way to service you. My first experience was on 31st May which was my 10th wedding anniversary. Upset at my travel plans being called off I was unsure of how the day could be special. In came Karishma like a knight in shining armour with her exotic menu and service. She assured us of the quality of food, delivery as well as sanitization service to keep us safe.  On the day the food arrived in perfect time by a chauffer from"
90,Rashmi Trivedi helped us choose the right room. Best customer service possible. She was very sweet and ensured we had a great time. Rashmi and the team informed of us all of the facilities. Thank you so much!
91,"It was very easy to order . They agreed to make something that’s wasn’t on the menu too . The meal was  yummy , piping hot and arrived in 45 mins .  It was packed very well, completely sealed . The person delivering was wearing gloves and a mask .  Thank you !!!!"
92,had called for a family meal for 4 from Marriott on Wheels. It was delivered from Marriott Juhu. Amazing food. Excellent packaging. Quantity was also very good. Mouthwatering taste. The delivery was also well in time.  Would definitely order again
